topicId,P@10,P@50,MAP@100,MAP@20,system
434,0.6,0.62,0.6369361972892977,0.6610190641567162,att99ate
435,0.6,0.36,0.4070683186736505,0.4500407000407,att99ate
436,0.8,0.54,0.7277633757114302,0.8614451633104884,att99ate
437,0.0,0.08,0.07527456638952895,0.0,att99ate
438,0.3,0.24,0.29079429664726225,0.31737053795877324,att99ate
439,0.2,0.08,0.24602356406480114,0.5,att99ate
440,0.7,0.46,0.6465973740978249,0.8737771000928893,att99ate
441,0.7,0.28,0.6517733932859842,0.85,att99ate
442,0.0,0.0,0.011494252873563218,0.0,att99ate
443,0.5,0.22,0.33040997305644215,0.4357439526847422,att99ate
444,0.9,0.3,0.939674688057041,0.939674688057041,att99ate
445,0.8,0.4,0.6294959054079515,0.9192307692307692,att99ate
446,0.9,0.74,0.7634466327509934,0.8618476747424114,att99ate
447,0.0,0.08,0.11443659531287116,0.08333333333333333,att99ate
448,0.0,0.0,0.0,0.0,att99ate
449,0.5,0.2,0.3326149552077732,0.44133597883597875,att99ate
450,1.0,0.92,0.9340513158320919,1.0,att99ate
401,0.0,0.04,0.03837875437692609,0.0,Dm8Nbn
402,0.6,0.24,0.3377712828392319,0.4961451247165533,Dm8Nbn
403,0.6,0.32,0.4987390344121648,0.6287317620650954,Dm8Nbn
404,0.1,0.06,0.09112311591303189,0.2,Dm8Nbn
405,0.2,0.08,0.3198245614035088,0.3833333333333333,Dm8Nbn
406,0.2,0.04,0.8333333333333333,0.8333333333333333,Dm8Nbn
407,0.3,0.1,0.17593744602281192,0.34074074074074073,Dm8Nbn
408,0.1,0.2,0.23361885219995487,0.22251748251748255,Dm8Nbn
409,0.2,0.08,0.47697368421052627,0.6081871345029239,Dm8Nbn
410,0.5,0.22,0.36906966705300637,0.5023999183006536,Dm8Nbn
411,0.1,0.04,0.15000000000000002,0.15000000000000002,Dm8Nbn
412,0.0,0.0,0.02298817254174397,0.0,Dm8Nbn
413,0.5,0.2,0.3745977126970508,0.6082810047095762,Dm8Nbn
414,0.1,0.06,0.075090297407649,0.125,Dm8Nbn
415,0.3,0.22,0.3318101284210933,0.7282051282051282,Dm8Nbn
416,0.2,0.1,0.16218602825745682,0.23882783882783884,Dm8Nbn
417,0.0,0.0,0.01282051282051282,0.0,Dm8Nbn
418,0.4,0.12,0.5064644137224782,0.569047619047619,Dm8Nbn
419,0.1,0.02,0.13315789473684211,0.3333333333333333,Dm8Nbn
420,0.1,0.02,0.2604166666666667,0.5,Dm8Nbn
421,0.0,0.02,0.02631578947368421,0.0,Dm8Nbn
422,0.0,0.0,0.014492753623188406,0.0,Dm8Nbn
423,0.2,0.1,0.2611584798689118,0.625,Dm8Nbn
424,0.0,0.04,0.058308843292214856,0.058823529411764705,Dm8Nbn
425,0.8,0.32,0.5744502272709596,0.7232511701261702,Dm8Nbn
426,0.1,0.04,0.21612903225806449,0.3,Dm8Nbn
427,0.1,0.1,0.17337820909249482,0.24314574314574314,Dm8Nbn
428,0.1,0.04,0.08888888888888888,0.1111111111111111,Dm8Nbn
429,0.3,0.08,0.5407586763518968,0.6547619047619048,Dm8Nbn
430,0.3,0.1,0.31666666666666665,0.35416666666666663,Dm8Nbn
431,0.5,0.36,0.522329509969596,0.6406517094017093,Dm8Nbn
432,0.0,0.0,0.0,0.0,Dm8Nbn
433,0.0,0.0,0.0,0.0,Dm8Nbn
434,0.0,0.22,0.17976104305946114,0.08125,Dm8Nbn
435,0.1,0.1,0.14111650307423387,0.20833333333333331,Dm8Nbn
436,0.0,0.06,0.06855818414322251,0.08333333333333334,Dm8Nbn
437,0.1,0.02,0.0863936869936375,0.25,Dm8Nbn
438,0.0,0.02,0.037037037037037035,0.0,Dm8Nbn
439,1.0,0.4,0.6999065160888198,0.9819004524886878,Dm8Nbn
440,0.0,0.04,0.0625724952801171,0.06666666666666667,Dm8Nbn
441,0.4,0.18,0.514205164276551,0.601533423684159,Dm8Nbn
442,0.0,0.0,0.0,0.0,Dm8Nbn
443,0.0,0.0,0.02667641325536062,0.0,Dm8Nbn
444,0.1,0.04,0.282258064516129,0.5,Dm8Nbn
445,0.0,0.1,0.09915225705666882,0.07692307692307693,Dm8Nbn
446,0.0,0.08,0.07597865934468559,0.0,Dm8Nbn
447,0.0,0.02,0.047619047619047616,0.0,Dm8Nbn
448,0.0,0.02,0.05555555555555555,0.05555555555555555,Dm8Nbn
449,0.1,0.06,0.09978325569358176,0.16666666666666666,Dm8Nbn
450,0.7,0.7,0.6799003763842733,0.6797208277250293,Dm8Nbn
401,0.2,0.12,0.1981188549286081,0.46249999999999997,Flab8at
402,0.6,0.3,0.4507532174925814,0.8064425770308122,Flab8at
403,0.9,0.4,0.8452684876618951,0.9260511600972128,Flab8at
404,0.2,0.2,0.20864244124876544,0.1743247006404901,Flab8at
405,0.5,0.22,0.41145928918786223,0.52765492161777,Flab8at
406,0.5,0.18,0.45496450157729174,0.6220760233918128,Flab8at
407,0.9,0.54,0.6993311658593899,0.9254615267773162,Flab8at
408,0.3,0.36,0.41934782163008616,0.5914086687306501,Flab8at
409,0.2,0.1,0.2383863819523678,0.4338235294117647,Flab8at
410,1.0,0.9,0.9287038528048976,1.0,Flab8at
411,0.5,0.22,0.6730943995050578,0.7024728049728048,Flab8at
412,0.9,0.64,0.7404931308750569,0.9141738345731245,Flab8at
413,0.4,0.26,0.40749719126826117,0.5506474519632414,Flab8at
414,0.5,0.28,0.34939505783421415,0.4791666666666667,Flab8at
415,1.0,0.78,0.85200950707325,0.985328517371861,Flab8at
416,0.3,0.38,0.3666914298350988,0.3350699749596808,Flab8at
417,0.6,0.22,0.5228418401715023,0.7931623931623931,Flab8at
418,0.6,0.34,0.48424619305913086,0.8887362637362637,Flab8at
419,0.1,0.06,0.1356521739130435,0.2,Flab8at
420,0.9,0.32,0.6740717457850073,0.943793243793244,Flab8at
421,0.1,0.1,0.14532430213464695,0.15456349206349207,Flab8at
422,0.9,0.8,0.8600740870064941,0.96480150509603,Flab8at
423,0.9,0.28,0.7618477818477818,0.8700829263329264,Flab8at
424,0.4,0.26,0.35271660765227714,0.6307692307692307,Flab8at
425,1.0,0.86,0.8654223223810584,0.9817801404957179,Flab8at
426,0.4,0.32,0.33574142887114883,0.3543951418951419,Flab8at
427,0.4,0.26,0.29620406213906064,0.3900793650793651,Flab8at
428,0.4,0.46,0.46764451779053096,0.5069276556776556,Flab8at
429,0.2,0.22,0.29305394263857354,0.29890501655207535,Flab8at
430,0.4,0.12,0.692857142857143,0.692857142857143,Flab8at
431,1.0,0.68,0.7707035454232185,0.970367166474433,Flab8at
432,0.0,0.0,0.0,0.0,Flab8at
433,0.1,0.04,0.2822522744037374,1.0,Flab8at
434,0.7,0.78,0.7512726044478972,0.6691096601810888,Flab8at
435,0.2,0.34,0.30808997505952235,0.2373015873015873,Flab8at
436,0.5,0.44,0.6188770428330588,0.700515962167546,Flab8at
437,0.0,0.06,0.07952949295660293,0.0,Flab8at
438,0.0,0.18,0.206629490098319,0.05,Flab8at
439,0.1,0.08,0.1532226010913197,0.3055555555555556,Flab8at
440,0.1,0.34,0.3268200414848206,0.22087453668336024,Flab8at
441,0.8,0.3,0.6654968367098302,0.8294569757727652,Flab8at
442,0.0,0.02,0.04060705496308449,0.0,Flab8at
443,0.6,0.32,0.43724312216261035,0.527601809954751,Flab8at
444,0.9,0.26,0.8095657120657119,0.9909090909090909,Flab8at
445,0.8,0.3,0.6422652822322551,0.9055916305916305,Flab8at
446,0.9,0.74,0.7961712800743371,0.928660328471383,Flab8at
447,0.1,0.1,0.12872734119382498,0.18461538461538463,Flab8at
448,0.0,0.0,0.019139566395663957,0.0,Flab8at
449,0.3,0.2,0.3001174572927544,0.3824184587342482,Flab8at
450,1.0,0.92,0.9148136818844534,1.0,Flab8at
401,0.3,0.1,0.3037556506177693,0.5942982456140351,Flab8ax
402,0.9,0.52,0.661926656649575,0.8950477626948213,Flab8ax
403,1.0,0.4,0.9081710845257644,1.0,Flab8ax
404,0.3,0.26,0.31936829243905956,0.46914682539682534,Flab8ax
405,0.4,0.3,0.42963132447560415,0.6089133089133089,Flab8ax
406,0.5,0.2,0.43853049754378026,0.5474446188731903,Flab8ax
407,1.0,0.52,0.6645848864426376,0.9333333333333333,Flab8ax
408,0.4,0.44,0.4663530498826469,0.6125541125541126,Flab8ax
409,0.2,0.1,0.259827668830824,0.4608516483516483,Flab8ax
410,1.0,0.88,0.9319461494777488,0.9973684210526316,Flab8ax
411,0.7,0.24,0.632198742092408,0.8158458646616541,Flab8ax
412,0.0,0.08,0.23628138954414646,0.12878787878787878,Flab8ax
413,0.6,0.44,0.5268871425177144,0.7732006555535967,Flab8ax
414,0.4,0.34,0.3910284726511824,0.6116013071895424,Flab8ax
415,1.0,0.78,0.8471261318237349,1.0,Flab8ax
416,0.4,0.38,0.41436238818369386,0.46087645272137245,Flab8ax
417,0.0,0.0,0.0,0.0,Flab8ax
418,0.7,0.4,0.5234278943384908,0.8538858802016697,Flab8ax
419,0.3,0.14,0.29197593520133563,0.4784090909090909,Flab8ax
420,0.9,0.34,0.7219980554167456,0.9652417027417027,Flab8ax
421,0.1,0.02,0.13833333333333334,0.25,Flab8ax
422,0.9,0.8,0.8624767183266259,0.9471114466164977,Flab8ax
423,0.9,0.3,0.7358705877740684,0.8983435545935544,Flab8ax
424,0.6,0.56,0.591802345086525,0.6799858816529454,Flab8ax
425,1.0,0.76,0.8157262248761356,0.9780207419994774,Flab8ax
426,0.6,0.42,0.5106412714978286,0.7289040616246499,Flab8ax
427,0.4,0.26,0.3145197995077068,0.46329365079365076,Flab8ax
428,0.5,0.48,0.4973930624473318,0.5701220895000799,Flab8ax
429,0.2,0.22,0.26886940786291436,0.27901936026936025,Flab8ax
430,0.3,0.12,0.5278074866310161,0.5788235294117647,Flab8ax
431,0.8,0.7,0.7340028913097909,0.9263085453633055,Flab8ax
432,0.0,0.0,0.0,0.0,Flab8ax
433,0.1,0.04,0.22149327280906228,1.0,Flab8ax
434,1.0,0.92,0.9271168370908415,0.9817801404957179,Flab8ax
435,0.3,0.36,0.34312792901936723,0.3743055555555555,Flab8ax
436,0.6,0.44,0.5647513761950891,0.7504233976950695,Flab8ax
437,0.0,0.08,0.08296988372570771,0.0,Flab8ax
438,0.2,0.08,0.12807032795838763,0.15833333333333333,Flab8ax
439,0.2,0.08,0.16868721004980464,0.41666666666666663,Flab8ax
440,0.5,0.42,0.5031049350273127,0.5989457437986849,Flab8ax
441,0.8,0.24,0.7618162341846553,0.8106612807270702,Flab8ax
442,0.1,0.1,0.1394544299469475,0.1741452991452991,Flab8ax
443,0.4,0.24,0.31990756228197387,0.557936507936508,Flab8ax
444,0.9,0.22,0.7574665992424013,0.9888888888888889,Flab8ax
